id,winner_votes,runner_up_votes,bracket_id,runner_up,winner
1,52145,25420,8,7,2
2,64451,11820,9,10,5
3,68092,17706,10,3,12
4,71227,14026,11,6,8
5,40968,32251,12,2,4
6,60621,11038,13,1,5
7,31728,22447,14,9,12
8,34000,22532,15,11,8
9,31399,22496,16,4,5
10,44581,18451,17,12,8
11,,,18,5,8
12,,,19,13,5
13,,,20,6,12
14,,,21,14,1
15,,,22,16,15
16,,,23,8,5
17,,,24,12,11
18,,,25,7,1
19,,,26,15,2
20,,,27,5,11
21,,,28,2,1
22,,,29,1,11
23,,,30,8,23
24,,,31,24,6
25,,,32,5,2
26,,,33,25,15
27,,,34,1,23
28,,,35,6,11
29,,,36,9,2
30,,,37,15,7
31,,,38,11,23
32,,,39,2,7
33,,,40,23,7
34,,,41,5,26
35,,,42,9,24
36,,,43,12,1
37,,,44,27,14
38,,,45,8,26
39,,,46,7,24
40,,,47,13,1
41,,,48,14,11
42,,,49,24,26
43,,,50,1,11
44,,,51,11,26
45,,,52,24,7
46,,,53,2,26
47,,,54,14,9
48,,,55,13,5
49,,,56,7,11
50,,,57,26,28
51,,,58,9,1
52,,,59,5,8
53,,,60,28,11
54,,,61,1,8
55,,,62,11,8
56,,,63,29,5
57,,,64,6,26
58,,,65,30,31
59,,,66,13,1
60,,,67,5,8
61,,,68,26,28
62,,,69,31,7
63,,,70,1,11
64,,,71,28,8
65,,,72,11,7
66,,,73,7,8
67,,,74,9,7
68,,,75,29,1
69,,,76,32,24
70,,,77,2,30
71,,,78,7,26
72,,,79,11,1
73,,,80,24,28
74,,,81,30,8
75,,,82,1,26
76,,,83,28,8
77,,,84,8,26
78,,,85,34,33
79,,,86,35,37
80,,,87,36,1
81,,,88,24,6
82,,,89,33,26
83,,,90,37,8
84,,,91,11,1
85,,,92,6,28
86,,,93,26,8
87,,,94,1,28
88,,,95,28,8
