id,round_uuid,round_number,final_round,year_id
4,7908761d-6067-4221-9e7d-54f0186788ae,1,f,1
5,27f9803b-ddc0-44ed-8221-5c06f43ecf4e,2,f,1
7,5b43f16d-5642-49fa-acc8-16b1b3bd2029,1,f,2
8,0c807f3a-5670-4075-bbe6-42689dcd9fbf,2,f,2
9,ced165d1-8e8b-418e-a0ca-13845f181d04,3,f,2
10,7a31cec4-65df-48df-8bcc-dc46c78ff0c0,4,t,2
11,f5688ebf-ba35-4211-b39c-ee99e3a57489,1,f,3
12,8a1dc4c8-3700-4686-a507-ca208ae1486c,2,f,3
13,f4eb915a-6708-4984-82a9-7e48971ff426,3,f,3
14,82446422-87fb-4fc2-9d2b-3c82e2c8f786,4,t,3
15,046b5e07-809e-4cda-ac53-954521db4f2f,1,f,4
16,3debb2a6-b4ea-4884-95c7-69b8bb1b4ca2,2,f,4
17,4ce98aaa-6258-461f-8faf-907d82e64b45,3,f,4
18,c48946f8-d289-47b9-81af-e2378ac4ac7b,4,t,4
19,2e1e5e15-ed93-43e4-b464-5662cf51c3de,1,f,5
20,027a5354-06da-4e93-9c2d-1a88dda53d7b,2,f,5
21,cf882029-e36a-414c-937d-4ffa62f5a1cd,3,f,5
22,1e074930-c29e-4ee4-9a44-20e385177433,4,t,5
23,033264f9-acf7-431f-8f63-e950c3787558,1,f,6
24,3cab95cd-04f8-48c2-a3cf-8ab9a194af55,2,f,6
25,ec7cd1fb-e77c-41da-8c36-efe189134327,3,f,6
26,e2fb8f4b-c111-4617-a6c2-7ccfa837533e,4,t,6
27,fab45792-d0ec-44ba-b5c4-82dad7664fde,1,f,7
28,81474ddd-7f5c-4527-a139-5c67259ddc09,2,f,7
29,bfe9c1e2-4250-43f4-baa4-b150381487a2,3,f,7
30,6a9e7524-256b-470e-a3fa-af4c9a8e9499,4,t,7
31,505c6201-e618-48e3-b946-80dee0f8f160,1,f,8
32,99ea1057-e0f4-4063-891c-ee1e636e6ba1,2,f,8
33,a2c5e213-3db0-49a6-bd79-8bbe8db5359c,3,f,8
34,d3092bc5-740b-47ea-a73d-2b87e3d6fa86,4,t,8
35,71a1326d-c190-4882-a0ff-366c903da315,1,f,9
36,132ceddc-195d-465f-92e8-fbe9d9b9b7b2,2,f,9
37,2b728e9b-3f49-4bbd-91de-48c85001a6a9,3,f,9
38,011f7fbd-9fb3-4c05-99bc-08029238ce22,4,t,9
6,57d04ccb-a928-464e-88f5-56591995f765,3,f,1
39,34338928-31c2-4fb3-8474-0a913fbc3bc2,4,t,1
